Pais ,Liga ,Temporada ,Fecha,Hora,Local (A),Visitante (A),Goles Local,Goles Visit,Resultado
Mexico,Liga MX,2013/2014,01/02/2014,23:00,Santos Laguna,Toluca,2,0,H
Mexico,Liga MX,2013/2014,01/02/2014,23:00,Veracruz,Puebla,0,1,A
Mexico,Liga MX,2013/2014,02/02/2014,01:00,Guadalajara Chivas,Cruz Azul,0,2,A
Mexico,Liga MX,2013/2014,02/02/2014,01:00,Monterrey,U.A.N.L.- Tigres,0,0,D
Mexico,Liga MX,2013/2014,02/02/2014,01:00,Pachuca,Atlas,0,1,A
Mexico,Liga MX,2013/2014,02/02/2014,03:00,Chiapas,Queretaro,1,0,H
Mexico,Liga MX,2013/2014,02/02/2014,18:00,U.N.A.M.- Pumas,Club Tijuana,3,0,H
Mexico,Liga MX,2013/2014,08/02/2014,03:30,Club Tijuana,Monterrey,2,1,H
Mexico,Liga MX,2013/2014,08/02/2014,23:00,Club America,Pachuca,0,1,A
Mexico,Liga MX,2013/2014,09/02/2014,01:00,U.A.N.L.- Tigres,Santos Laguna,1,1,D
Mexico,Liga MX,2013/2014,09/02/2014,02:06,Club Leon,U.N.A.M.- Pumas,1,2,A
Mexico,Liga MX,2013/2014,09/02/2014,03:00,Atlas,Monarcas,1,1,D
Mexico,Liga MX,2013/2014,09/02/2014,18:00,Puebla,Guadalajara Chivas,0,1,A
Mexico,Liga MX,2013/2014,09/02/2014,18:00,Toluca,Chiapas,2,0,H
Mexico,Liga MX,2013/2014,09/02/2014,23:00,Atlante,Cruz Azul,1,4,A
Mexico,Liga MX,2013/2014,09/02/2014,23:00,Queretaro,Veracruz,2,0,H
Mexico,Liga MX,2013/2014,15/02/2014,01:30,Monarcas,Club America,1,0,H
Mexico,Liga MX,2013/2014,15/02/2014,03:30,Santos Laguna,Club Tijuana,3,2,H
Mexico,Liga MX,2013/2014,15/02/2014,23:00,Cruz Azul,Puebla,1,0,H
Mexico,Liga MX,2013/2014,15/02/2014,23:00,Veracruz,Toluca,0,3,A
Mexico,Liga MX,2013/2014,16/02/2014,01:00,Monterrey,Club Leon,0,2,A
